# 《习近平新时代中国特色社会主义思想概论》期末复习题库（212题 完整整理）
## 一、单选题（118道）
**第1题**
党的二十大报告指出，十年来，我们创立了习近平新时代中国特色社会主义思想，明确坚持和发展中国特色社会主义的基本方略，提出一系列治国理政新理念新思想新战略，实现了马克思主义(        )新的飞跃，坚持不懈用这一创新理论武装头脑、指导实践、推动工作，为新时代党和国家事业发展提供了根本遵循。
A. 劳动力
B. 资本
C. 科技
D. 创新
**正确答案：D**

**第34题**
(        )是工业文明发展到一定阶段的产物。
A. 农业文明
B. 中华文明
C. 生态文明
D. 工业文明
**正确答案：C**

**第35题**
(        )是中国特色社会主义的重要物质基础和政治基础，是我们党执政兴国的重要支柱和依靠力量。
A. 国有企业
B. 合资企业
C. 私营企业
D. 集体企业
**正确答案：A**

**第36题**
(        )是全面建设社会主义现代化国家的重要目标，也是满足人民日益增长的优美生态环境需要的必然要求。
A. 建设美丽中国
B. 丰富精神生活
C. 改善居住环境
D. 提高人均收入
**正确答案：A**

**第37题**
构建新发展格局必须发挥比较优势，以(        )吸引全球资源要素。
A. 国内大循环
B. 国内小循环
C. 国际大循环
D. 国际小循环
**正确答案：A**

**第38题**
新时代国家安全工作的基本遵循是(        )。
A. 强化人民军队建设
B. 维护国家安全、主权、发展利益
C. 总体国家安全观
D. 实现祖国完全统一
**正确答案：C**

**第39题**
宏观调控的主要任务是保持经济(        )平衡，促进重大经济结构协调和生产力布局优化，减缓经济周期波动影响，防范区域性、系统性风险，稳定市场预期，实现经济持续健康发展。
A. 总量
B. 运行
C. 动态
D. 综合
**正确答案：A**

**第40题**
(        )是应对国家安全形势新变化新趋势的战略选择，是全面贯彻落实总体国家安全观的重大举措。
A. 统筹稳定和发展
B. 构建新发展格局
C. 构建新安全格局
D. 建立强大的军队
**正确答案：C**

**第41题**
科教兴国是我国的(        )。
A. 基本国策
B. 基本政策
C. 基本路线
D. 基本战略
**正确答案：A**

**第42题**
坚持(        )是人民军队永远不变的军魂。
A. 全心全意为人民服务
B. 强军目标
C. 人民至上
D. 党对人民军队的绝对领导
**正确答案：D**

**第43题**
(        )是国家强盛之基、安全之要。
A. 科技自立自强
B. 人才引进
C. 共同富裕
D. 改革开放
**正确答案：A**

**第44题**
新时代强军目标的核心是(        )。
A. 听党指挥
B. 能打胜仗
C. 作风优良
D. 全面建成世界一流军队
**正确答案：B**

**第45题**
(        )是我们攀登世界科技高峰的必由之路。
A. 自主创新
B. 脱贫攻坚
C. 守正创新
D. 信息技术
**正确答案：A**

**第46题**
在(        )上，党领导人大、政府、政协、监察机关、审判机关、检察机关、武装力量、人民团体、企事业单位、基层群众性自治组织、社会组织等。
A. 领导内容
B. 领导过程
C. 领导方式
D. 领导对象
**正确答案：D**

**第47题**
新时代新征程，要健全(        )，充分发挥国家作为重大科技创新组织者的作用。
A. 新型领导机制
B. 新型组织机制
C. 新型经济体制
D. 新型举国体制
**正确答案：D**

**第48题**
把握两岸关系主导权和主动权，推动两岸关系朝着正确方向发展，必须坚持(        )和“九二共识”，坚决反对“台独”分裂行径，坚决反对外部势力干涉。
A. 全面管治
B. 和平统一
C. 高度自治
D. 一个中国原则
**正确答案：D**

**第49题**
评判一种民主形式好不好，实践最有说服力，(        )最有发言权。
A. 中国共产党
B. 人民政府
C. 新闻媒体
D. 人民
**正确答案：D**

**第50题**
中国特色大国外交以(        )为总目标，始终坚持维护世界和平、促进共同发展的宗旨。
A. 和平发展
B. 推动构建人类命运共同体
C. 合作共赢
D. 美丽世界
**正确答案：B**

**第51题**
(        )是凝聚人心、汇聚力量的强大法宝。
A. 独立自主
B. 统一战线
C. 党的领导
D. 改革开放
**正确答案：B**

**第52题**
习近平总书记强调，“我国社会主义政治制度优越性的一个突出特点是党总揽全局、协调各方的领导核心作用，形象地说是‘众星捧月'，这个‘月'就是(        )。”
A. 军队
B. 政协
C. 中国共产党
D. 法院
**正确答案：C**

**第53题**
(        )，是全面建设社会主义现代化国家的内在要求和重要目标。
A. 三权分立
B. 发展社会主义市场经济
C. 民主
D. 发展社会主义民主政治
**正确答案：D**

**第54题**
(        )是新时代党的建设的鲜明主题。
A. 群众路线
B. 依规治党
C. 调查研究
D. 全面从严治党
**正确答案：D**

**第55题**
党的二十大报告强调，以(        )为主线，坚定不移走中国特色解决民族问题的正确道路，坚持和完善民族区域自治制度，加强和改进党的民族工作，全面推进民族团结进步事业。
A. 深化民族团结进步教育
B. 促进民族团结、共同繁荣
C. 加强各民族交往交流交融
D. 铸牢中华民族共同体意识
**正确答案：D**

**第56题**
(        )是中国特色社会主义的本质要求和重要保障。
A. 全面建设社会主义现代化国家
B. 全面依法治国
C. 全面深化改革
D. 全面从严治党
**正确答案：B**

**第57题**
(        )是决定当代中国命运的关键抉择，是党和人民事业大踏步赶上时代的重要法宝。
A. 改革开放
B. 人才强国战略
C. 开放合作
D. 可持续发展战略
**正确答案：A**

**第58题**
(        )，是全面建设社会主义现代化国家的重要组成部分。
A. 建设法治社会
B. 建设法治国家
C. 建设法治体系
D. 建设法治中国
**正确答案：D**

**第59题**
(        )正是在中华民族迎来从站起来、富起来到强起来的伟大飞跃，实现中华民族伟大复兴进入不可逆转的历史进程中创立并不断丰富发展的。
A. 习近平新时代中国特色社会主义思想
B. 邓小平理论
C. “三个代表”重要思想
D. 毛泽东思想
**正确答案：A**

**第60题**
法律规范体系是以(        )为核心，由部门齐全、结构严谨、内部协调、体例科学、调整有效的法律规范所构成的有机整体。
A. 执法
B. 司法
C. 宪法
D. 立法
**正确答案：C**

**第61题**
当前，世界百年未有之大变局加速演进，我国发展进入战略机遇和风险挑战并存、不确定难预料因素增多的时期，两者同步交织、相互激荡。“两个大局”:一个是世界百年未有之大变局，一个是(        )。
A. 社会主义现代化强国建设的全局
B. 中华民族伟大复兴的战略全局
C. “四个全面”战略布局
D. 人类命运共同体之大局
**正确答案：B**

**第62题**
坚持法律面前人人平等，法治监督体系以(        )为重点.
A. 约束公权力运行
B. 思想教育
C. 制度建设
D. 少数领导干部
**正确答案：A**

**第63题**
(        )反映了我国社会主义初级阶段不断变化的新特点，是我们党作出中国特色社会主义进入新时代重大判断的基本依据。
A. 我国国际地位的变化
B. 我国基本国情的变化
C. 我国社会主要矛盾的变化
D. 我国国家性质的变化
**正确答案：C**

**第64题**
宗教工作在党和国家工作全局中具有特殊重要性。要广泛宣传新时代党的宗教工作理论和方针政策，宣传宗教相关(        )，加强宗教方面宣传舆论引导。
A. 教义教规
B. 法律法规
C. 基本常识
D. 文化习俗
**正确答案：B**

**第65题**
中国特色社会主义，既坚持了(        )基本原则，又根据时代条件赋予其鲜明的中国特色。
A. 唯物辩证主义
B. 科学社会主义
C. 历史唯物主义
D. 辩证唯物主义
**正确答案：B**

**第66题**
习近平总书记指出:"有事好商量，众人的事情由众人商量，找到全社会意愿和要求的最大公约数，是(        )的真谛。"
A. 民主共和
B. 民主自由
C. 全民公投
D. 人民民主
**正确答案：D**

**第67题**
(        )是全面建设社会主义现代化国家的首要任务，是遵循经济规律发展的必然要求。
A. 加速度发展
B. 深入打好污染防治攻坚战
C. 高质量发展
D. 节能减排
**正确答案：C**

**第68题**
(        )是中国共产党夺取革命、建设、改革事业胜利的重要法宝，也是实现中华民族伟大复兴的重要法宝。
A. 统一战线
B. 武装斗争
C. 独立自主
D. 群众路线
**正确答案：A**

**第69题**
构建高水平社会主义市场经济体制，关键是要(        )。
A. 处理好政府和市场的关系
B. 处理好当前利益和长远利益的关系
C. 处理好中国和外国的关系
D. 处理好效率和公平的关系
**正确答案：A**

**第70题**
(        )是中国社会主义民主政治中独特的、独有的、独到的民主形式。
A. 协商民主
B. 基层民主
C. 全过程人民民主
D. 民主选举
**正确答案：A**

**第71题**
必须把教育事业放在优先发展的战略位置，把(        )作为教育的根本任务。
A. 改革创新
B. 提高质量
C. 促进公平
D. 立德树人
**正确答案：D**

**第72题**
教育优先发展是推动党和国家各项事业发展的(        )。
A. 最高目标
B. 重要先手棋
C. 根本动力
D. 基本原则
**正确答案：B**

**第73题**
自力更生是中华民族自立于世界民族之林的奋斗基点，(        )是我们攀登世界科技高峰的必由之路。
A. 自主创新
B. 模式创新
C. 体制创新
D. 管理创新
**正确答案：A**

**第74题**
(        )是科学帅才，是国家战略人才力量的"关键少数"。
A. 战略科学家
B. 科技领军人才和创新团队
C. 青年科技人才
D. 卓越工程师
**正确答案：A**

**第75题**
全面深化改革开放，胆子要大，步子要稳。以下说法错误的是(        )。
A. 对一些事关全局、影响长远的改革，既要敢于突破、不断推进，又要审慎稳妥、三思后行
B. 胆子大不是蛮干，而是在深思熟虑后的突破、实践基础上的创新
C. 步子要稳不是盲目保守，而是要在大胆突破中把准方向、科学决策
D. 搞改革不可能都是四平八稳、没有任何风险，要大胆地试、大胆地闯，可以无需经过充分论证和评估
**正确答案：D**

**第76题**
实现高水平科技自立自强是国家强盛和民族复兴的(        )。
A. 必然选择
B. 基础保障
C. 战略基石
D. 内在要求
**正确答案：C**

**第77题**
习近平指出:“有事好商量，众人的事情由众人商量，找到全社会意愿和要求的最大公约数，是(        )的真谛。”
A. 民主共和
B. 民主自由
C. 全民公投
D. 人民民主
**正确答案：D**

**第78题**
落实(        )根本任务，必须着力解决好培养什么人、怎样培养人、为谁培养人的问题。
A. 立德树人
B. 社会实践
C. 创新拔尖
D. 专业技术
**正确答案：A**

**第79题**
(        )是新时代我国民主政治领域具有重大创新意义的标志性成果。
A. 基层民主
B. 全过程人民民主
C. 科学主义
D. 协商民主
**正确答案：B**

**第80题**
(        )第一次从所有制结构、分配制度、资源配置方式等方面阐述了我国基本经济制度的内涵，把我们党对社会主义基本经济制度的认识提高到一个新境界。
A. 党的十九届四中全会
B. 党的二十大
C. 党的十九大
D. 党的十八届四中全会
**正确答案：A**

**第81题**
构建新发展格局最本质的特征是实现高水平的自立自强。(        )自立自强是我国经济生存和发展的基础，是畅通国内国际双循环、促进我国发展大局的关键。
A. 智能
B. 科技
C. 创新
D. 研究
**正确答案：B**

**第82题**
(        )是社会主义法治最根本的保证。
A. 中国特色社会主义制度
B. 党的领导
C. 严密的法治监督体系
D. 全面深化改革
**正确答案：B**

**第83题**
我国宪法明确规定，坚持(        )为主体，多种分配方式并存的分配制度。
A. 按劳分配
B. 按资分配
C. 按需分配
D. 按生产要素分配
**正确答案：A**

**第84题**
推动高质量发展，要更好统筹质的有效提升和量的合理增长，始终坚持质量第一、(        )优先。
A. 利益
B. 速度
C. 人才
D. 效益
**正确答案：D**

**第85题**
(        )是更基础、更广泛、更深厚的自信，是一个国家、一个民族发展中最基本、最深沉、最持久的力量。
A. 道路自信
B. 制度自信
C. 文化自信
D. 理论自信
**正确答案：C**

**第86题**
要突出坚持和完善支撑中国特色社会主义制度的根本制度、基本制度、重要制度，着力固根基、扬优势、补短板、强弱项，构建(        )的制度体系，让各方面制度更加成熟更加定型。
A. 科学规范、管理高效、运行有效
B. 系统完备、科学规范、管理高效
C. 系统完备、管理高效、运行有效
D. 系统完备、科学规范、运行有效
**正确答案：D**

**第87题**
(        )集中体现了一个国家基于文化而具有的凝聚力和生命力，以及由此产生的吸引力和影响力。
A. 文化软实力
B. 意识形态
C. 传统文化
D. 核心价值观
**正确答案：A**

**第88题**
继续扩大对外开放，构建更高水平开放型经济新体制，要优化区域开放布局，实施(        )提升战略，形成陆海内外联动、东西双向互济的开放格局。
A. 出口加工区
B. 保税港区
C. 转口贸易区
D. 自由贸易试验区
**正确答案：D**

**第89题**
(        )是我们坚持立党为公、执政为民的本质要求。
A. 增进民生福祉
B. 建立强大的国防
C. 全面依法治国
D. 思想政治教育
**正确答案：A**

**第90题**
(        )是推进党和人民事业发展的必然要求。
A. 人民当家作主
B. 坚持依法治国
C. 坚持党的领导
D. 改革开放永无止境
**正确答案：D**

**第91题**
基层治理是国家治理的基石，(        )是社会治理最基本的单元，是党和政府联系、服务居民群众的“最后一公里”。
A. 党支部
B. 村民自治
C. 城乡社区
D. 市域治理
**正确答案：C**

**第92题**
中国特色社会主义制度是在(        )中不断完善的。
A. 科学发展
B. 实践
C. 深化改革
D. 扩大开放
**正确答案：B**

**第93题**
要树立尊重自然、顺应自然、保护自然的生态文明理念，增强(        )的意识。
A. 金山银山不如绿水青山
B. 绿水青山就是金山银山
C. 金山银山就是绿水青山
D. 绿水青山胜过金山银山
**正确答案：B**

**第94题**
(        )是一个成熟的马克思主义执政党的重大建党原则。
A. 两个确立
B. 党的政治建设
C. 中国特色社会主义理论体系
D. 维护党中央权威和集中统一领导
**正确答案：D**

**第95题**
生态兴则文明兴，生态衰则文明衰。(        )直接影响文明的兴衰演替。
A. 精神文明建设
B. 工业化程度
C. 生态环境变化
D. 法治建设
**正确答案：C**

**第96题**
事在四方，要在中央。(        )是党的领导的最高原则，是党保持团结统一和强大战斗力、不断取得胜利的关键所在。
A. 党的全面领导
B. 党的一元化领导
C. 党中央集中统一领导
D. 党中央全面领导
**正确答案：C**

**第97题**
每年(        )被确定为全民国家安全教育日。
A. 4月15日
B. 5月17日
C. 6月15日
D. 7月30日
**正确答案：A**

**第98题**
中国共产党的(        )是中国特色社会主义制度优势的主要来源。
A. 政治优势
B. 自身优势
C. 组织优势
D. 领导优势
**正确答案：B**

**第99题**
总体国家安全观的关键是“总体”。强调(        )理念，涵盖政治、军事、国土、经济、金融、文化等诸多领域，而且将随着社会发展不断动态调整。
A. 大提升
B. 大创新
C. “大安全”
D. 大发展
**正确答案：C**

**第100题**
中国共产党是我国最高政治领导力量，党的领导制度在我国国家政治制度体系中居于(        )地位。
A. 统领
B. 主导
C. 中心
D. 指挥
**正确答案：A**

**第101题**
习近平总书记指出:“我们捍卫和平、维护安全、慑止战争的手段和选择有多种多样，但军事手段始终是(        )。”
A. 保底手段
B. 次要手段
C. 备用手段
D. 第一手段
**正确答案：A**

**第102题**
党的十九大概括的以(        )为主要内容的基本方略，涵盖了坚持党的全面领导和全面从严治党，涵盖了"五位一体"总体布局和"四个全面"战略布局，涵盖了国防和军队建设、维护国家安全、"一国两制"和祖国统一、对外战略等方面，反映了我们党对建设中国特色社会主义的规律性认识。
A. "十四个坚持"
B. "十个明确"
C. "六个必须坚持"
D. "十三个方面成就"
**正确答案：A**

**第103题**
(        )是坚持党对人民军队绝对领导的根本制度和根本实现形式，集中反映了我们党建军治军的先进理念、基因传承和制度结晶，保证了党牢牢掌控军队最高领导权和指挥权。
A. 军委主席负责制
B. 政治委员制
C. 支部建在连上
D. 政治机关制
**正确答案：A**

**第104题**
要按照"五位一体"总体布局的整体性目标要求，坚持以(        )为中心，努力推动社会主义物质文明、政治文明、精神文明、社会文明、生态文明协调发展，不断推进和拓展中国式现代化，不断丰富和发展人类文明新形态。
A. 文化建设
B. 经济建设
C. 社会建设
D. 政治建设
**正确答案：B**

**第105题**
(        )是中国特色社会主义的伟大创举，是香港、澳门回归后保持长期繁荣稳定的最佳制度安排。
A. 高度自治
B. 落实“爱国者治港”“爱国者治澳”原则
C. “港人治港”“澳人治澳”
D. “一国两制”
**正确答案：D**

**第106题**
科学社会主义在21世纪的中国焕发出新的蓬勃生机，(        )为人类实现现代化提供了新的选择，中国共产党和中国人民为解决人类面临的共同问题提供更多更好的中国智慧、中国方案、中国力量，为人类和平与发展崇高事业作出新的更大的贡献!
A. 中国特色社会主义现代化
B. 中国式现代化
C. 中国现代化
D. 社会主义现代化
**正确答案：B**

**第107题**
一个国家、一个政党，领导核心至关重要。维护党中央权威和集中统一领导，最关键的是坚决维护(        )。
A. 习近平同志党中央的核心、全党的核心地位
B. 中国特色社会主义制度
C. 中华民族伟大复兴的中国梦
D. 国家治理体系和治理能力现代化
**正确答案：A**

**第108题**
(        )明确了中国特色社会主义发展的历史方位、主体力量、兴国之要、立国之本、强国之路和奋斗目标，必须牢牢坚持、毫不动摇。
A. 党的基本理论
B. 党的基本路线
C. 党的基本方略
D. 党的基本原则
**正确答案：B**

**第109题**
中国共产党的性质决定了党的宗旨是(        )。
A. 全心全意为人民服务
B. 以人为本、执政为民
C. 立党为公、执政为民
D. 为实现共产主义而奋斗
**正确答案：A**

**第110题**
(        )是对坚持和发展马克思主义作出的重大理论贡献，是我们党在探索中国特色社会主义道路中得出的规律性认识，是我们取得成功的最大法宝。
A. "两个坚持"
B. "两个结合"
C. "两个维护"
D. "两个确立"
**正确答案：B**

**第111题**
无论国际形势如何变幻，(        )这一我国对外工作的根本任务没有变，也不能变。
A. 维护国家利益
B. 维护世界和平
C. 促进共同发展
D. 实现经济发展
**正确答案：A**

**第112题**
(        )是根本价值立场，体现了历史唯物主义群众史观。
A. 坚持守正创新
B. 坚持人民至上
C. 坚持胸怀天下
D. 坚持系统观念
**正确答案：B**

**第113题**
(        )是党永葆生机活力、走好新的赶考之路的必由之路。
A. 坚持党的全面领导
B. 思想建党
C. 全面从严治党
D. 团结奋斗
**正确答案：C**

**第114题**
面对复杂多变的国际环境带来的新矛盾新挑战，以习近平同志为核心的党中央深刻把握中国和世界关系的历史性变化，深刻回答"(        )"的历史之问。
A. 人类社会从何而来
B. 人类社会经济变化
C. 人类社会何去何从
D. 人类社会如何发展
**正确答案：C**

**第115题**
马克思主义能不能在实践中发挥作用，关键在于能否把马克思主义基本原理同(        )结合起来，关键在于能否运用其科学的世界观和方法论解决中国的问题。
A. 中国革命文化
B. 中国式现代化
C. 中华优秀传统文化
D. 中国实际和时代特征
**正确答案：D**

**第116题**
(        )是我们党区别于其他政党的显著标志。
A. 勇于突破
B. 勇于创新
C. 勇于挑战
D. 勇于自我革命
**正确答案：D**

**第117题**
提出构建人类命运共同体重大理念，提出共建“一带一路”倡议，提出全球发展倡议、全球安全倡议、全球文明倡议，深刻回答(        )的时代课题。
A. “共建人类家园”
B. “什么是人类命运共同体”
C. “人类向何处去”
D. “世界怎么了、我们怎么办”
**正确答案：D**

**第118题**
中国特色大国外交建立在正确的(        )、大局观、角色观基础之上。
A. 民族观
B. 文化观
C. 价值观
D. 历史观
**正确答案：D**

## 二、多选题（25道）
**第119题**
习近平新时代中国特色社会主义思想回答了(        )等重大时代课题。
A. 建设什么样的社会主义现代化强国、怎样建设社会主义现代化强国
B. 建设什么样美好的世界，怎样建设美好世界
C. 新时代坚持和发展什么样的中国特色社会主义、怎样坚持和发展中国特色社会主义
D. 建设什么样的长期执政的马克思主义政党、怎样建设长期执政的马克思主义政党
**正确答案：ACD**

**第120题**
中国特色社会主义不是从天上掉下来的，而是(        )。
A. 在改革开放40多年的伟大实践中得来的
B. 在新中国成立70多年的持续探索中得来的
C. 在中国共产党领导人民进行伟大社会革命100多年的实践中得来的
D. 在近代以来中华民族由衰到盛180多年的历史进程中得来的
**正确答案：ABCD**

**第121题**
中国特色社会主义进入新时代的判断依据有(        )。
A. 是我国社会主要矛盾发生新变化的反映
B. 是党的主要任务发生新变化的反映
C. 是中国和世界关系发生新变化的反映
D. 是我国经济发生新变化的反映
**正确答案：ABC**

**第122题**
关于构建新发展格局，以下说法正确的是(        )。
A. 构建新发展格局是以全国统一大市场基础上的国内大循环为主体，不是各地都搞自我小循环
B. 我们党提出构建新发展格局，是对我国客观经济规律和发展趋势的自觉把握
C. 构建新发展格局是开放的国内国际双循环，不是封闭的国内单循环
D. 构建新发展格局是把握未来发展主动权的先手棋，不是被迫之举和权宜之计
**正确答案：ABCD**

**第123题**
中国式现代化必须始终高举(        )旗帜，奉行互利共赢的开放战略，为广大发展中国家提供力所能及的支持和帮助，以中国新发展为世界提供新机遇。
A. 和平
B. 发展
C. 合作
D. 共赢
**正确答案：ABCD**

**第124题**
推进中国式现代化，必须坚持以经济建设为中心，坚持(        )，坚持道不变、志不改，既不走封闭僵化的老路，也不走改旗易帜的邪路，始终坚持和发展中国特色社会主义。
A. 四项基本原则
B. 改革开放
C. 独立自主
D. 自力更生
**正确答案：ABCD**

**第125题**
全面加强党的领导，使我们有效应对严峻复杂的国际形势和接踵而至的巨大风险挑战，有力推进了党和国家各项事业的顺利发展，胜利实现了全面建成小康社会的战略目标，开启了全面建设社会主义现代化国家新征程。特别是在(        )等重大斗争中，党的全面领导的优势得到充分彰显。
A. 反腐败
B. 脱贫攻坚
C. 抗击新冠疫情
D. 应对经贸摩擦
**正确答案：ABCD**

**第126题**
中国共产党作为最高政治领导力量是由(        )决定的。
A. 人民群众的意愿
B. 各民主党派以及无党派民主人士
C. 中华民族伟大复兴事业
